CDSEXE,DTNAIS,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,ADH
1,0000-00-00,0,0,A,0,,98,9
2,02/09/1939,0,0,M,2,,10,39
3,27/04/1941,1524,0,M,2,,10,37
2,05/03/1931,0,0,A,0,DC,21,37
2,25/08/1935,1722,0,G,2,,10,37
3,01/11/1937,0,0,D,2,,10,36
3,14/01/1934,0,0,A,0,,10,36
4,26/09/1947,4300,0,C,2,,10,30
3,21/02/1944,1903,0,G,2,,10,27
2,23/06/1953,0,3,M,2,,10,27
3,01/01/1955,0,0,A,0,,10,26
2,21/12/1945,0,0,A,0,,10,26
3,11/05/1957,0,2,M,2,,10,26
4,07/09/1952,0,0,C,2,,10,26
3,28/08/1955,1738,1,M,2,,10,25
4,04/09/1954,0,0,C,2,,10,24
2,14/01/1924,0,0,A,0,,10,38
2,21/12/1946,4153,1,M,2,,10,32
2,26/12/1944,0,0,A,0,DC,10,32
2,21/05/1939,0,0,M,0,DC,10,31
2,18/05/1940,2145,1,M,2,,10,29
3,20/07/1948,0,0,M,2,,10,29
2,03/11/1940,0,0,A,0,,10,29
2,19/12/1951,0,0,M,2,,10,29
3,25/11/1943,0,0,A,0,,10,29
3,19/08/1945,0,0,M,2,,10,28
3,15/06/1948,0,0,A,0,,10,28
2,02/10/1944,1935,1,C,2,,10,28
2,08/03/1958,1560,1,M,2,,10,28
2,29/10/1956,2506,2,M,2,,10,28
2,04/12/1948,2379,2,M,2,,10,28
4,23/07/1956,2653,0,C,2,,10,27
3,21/11/1946,0,0,A,0,,10,27
3,02/12/1937,1829,0,B,2,,10,27
2,14/02/1961,0,0,M,2,,10,27
3,10/01/1940,0,0,D,2,,10,27
3,24/03/1950,1911,2,M,2,,10,26
3,01/01/1923,0,0,A,0,,10,26
3,23/03/1935,0,0,A,0,,10,25
2,01/05/1945,2280,0,M,2,,10,25
3,24/02/1959,2462,2,E,2,,10,24
2,14/11/1927,0,0,M,2,,10,42
2,06/08/1927,0,0,V,2,,10,41
2,30/03/1935,0,0,M,2,,10,39
3,06/07/1937,1691,0,A,0,,10,37
3,02/02/1937,1715,0,M,2,,10,34
2,11/05/1949,1870,1,M,2,,10,32
3,11/05/1949,0,0,M,2,,10,31
2,05/10/1950,1946,0,M,0,,10,31
3,28/06/1920,0,0,M,0,,10,28
2,03/12/1947,0,0,M,2,,10,27
2,20/01/1958,2300,0,C,2,,10,26
2,18/03/1939,0,0,A,0,,10,25
2,26/11/1913,0,0,A,0,DC,10,40
2,18/09/1938,0,0,M,2,,10,35
2,22/09/1937,0,0,M,2,,10,35
3,18/01/1947,2100,0,M,2,,10,35
3,18/04/1933,1830,0,V,0,,10,33
2,06/03/1931,0,0,A,0,,10,33
2,06/11/1913,0,0,A,2,DC,21,31
3,11/03/1930,0,0,M,2,,10,30
3,26/02/1952,1766,0,M,2,,10,29
4,16/02/1959,2012,1,C,2,,10,29
2,18/02/1950,2956,1,E,2,,10,29
2,19/06/1947,0,0,S,2,,10,28
3,07/12/1923,0,0,A,0,,10,27
2,27/05/1940,2193,0,M,2,,10,27
3,13/04/1945,0,0,M,2,,10,27
2,13/03/1936,0,0,M,2,,10,35
3,01/12/1961,0,0,M,2,,10,33
2,17/02/1947,1828,0,M,2,,10,29
4,26/01/1946,1842,0,C,2,,10,25
2,04/01/1937,0,0,A,0,,10,36
3,25/09/1914,0,0,A,0,,10,35
2,15/09/1946,0,0,M,2,,10,34
2,01/06/1945,1500,0,M,0,,10,33
2,21/10/1929,0,0,M,2,,10,33
3,02/06/1945,5465,0,C,2,,10,32
2,23/02/1951,0,0,A,0,,10,30
3,12/10/1945,0,0,A,0,,10,30
2,01/10/1940,0,0,A,0,,10,30
2,24/04/1923,0,0,A,0,,10,30
3,16/02/1928,0,0,M,2,,10,29
2,22/11/1927,0,0,A,0,,10,29
2,05/02/1936,0,0,A,0,DC,10,29
3,14/04/1940,0,0,M,2,,10,29
2,01/07/1942,0,0,A,0,,10,28
3,24/10/1923,0,0,M,2,,10,28
3,06/09/1950,0,0,M,2,,10,28
3,03/04/1940,0,0,A,0,,10,27
3,28/08/1945,0,0,A,0,,10,27
3,02/03/1944,0,0,A,2,DC,10,27
3,19/04/1954,0,3,M,2,,10,27
2,01/12/1932,0,0,A,0,,10,26
2,14/12/1949,0,0,D,2,,10,26
3,14/03/1956,0,0,A,0,,10,25
3,25/10/1934,0,0,M,2,,10,25
2,17/07/1959,0,0,C,2,,10,25
2,16/05/1919,0,0,A,0,,10,24
4,06/03/1963,0,0,C,0,,10,24
2,23/05/1932,0,0,M,0,,10,24
3,24/09/1944,0,0,D,0,,10,24
2,09/08/1934,2050,0,M,0,DC,21,44
2,18/12/1944,0,0,A,0,,10,34
3,20/01/1940,0,0,M,2,,10,32
2,22/07/1933,1924,0,M,2,,10,32
3,22/07/1930,0,0,M,2,,10,32
2,06/12/1950,2880,1,U,2,,10,31
2,10/09/1946,0,0,S,2,,10,29
3,26/08/1934,0,0,A,0,,10,29
3,01/08/1949,0,0,M,6,,10,27
3,02/10/1957,0,0,A,0,,10,26
3,16/01/1944,0,0,A,0,,10,26
3,15/10/1956,1627,1,B,2,,10,25
3,23/02/1931,0,0,C,2,,10,25
2,05/01/1949,2600,2,M,2,DC,21,31
2,31/07/1952,2950,2,M,2,,10,29
2,24/04/1944,0,0,A,0,,10,27
2,06/04/1944,2400,1,B,2,,10,27
2,25/02/1943,2474,2,G,2,,10,32
2,01/09/1931,0,0,M,2,,10,30
3,16/08/1952,2055,1,D,2,,10,30
2,22/06/1930,0,0,M,2,,10,30
3,26/09/1941,0,0,M,2,,10,30
2,27/06/1909,0,0,M,0,DC,10,29
2,24/05/1940,0,0,M,2,,10,29
2,07/04/1951,2113,2,M,2,,10,28
3,05/05/1932,0,0,V,0,DC,21,28
3,22/10/1939,0,0,M,2,,10,27
2,15/08/1947,0,0,M,2,,10,26
2,29/04/1936,0,0,M,0,,10,26
2,08/03/1937,4261,0,M,0,,10,25
2,16/08/1926,0,0,M,2,,10,38
2,17/04/1951,0,0,M,2,,10,31
3,24/02/1950,2183,0,G,2,,10,30
2,05/09/1942,0,0,M,2,,10,28
3,20/08/1945,1010,0,M,2,,10,27
2,13/01/1936,0,0,A,0,,10,27
2,15/05/1959,0,0,A,0,DC,10,27
2,20/10/1955,0,0,A,0,,10,27
2,29/03/1929,0,0,A,0,,10,27
3,31/12/1945,0,0,D,2,,10,26
3,03/03/1962,0,0,A,0,,10,26
3,11/10/1959,0,2,D,2,,10,25
3,19/11/1957,0,0,M,2,,10,24
3,14/11/1924,0,0,M,2,,10,40
3,28/02/1940,0,0,C,2,,10,36
4,15/11/1948,3581,0,C,2,,10,36
3,15/10/1947,2430,0,M,2,,10,35
3,25/07/1938,0,0,M,6,,10,34
3,07/05/1934,0,0,A,0,,10,33
3,05/07/1941,2030,0,M,2,,10,33
3,19/10/1943,0,0,M,2,,10,31
3,30/05/1946,0,0,D,2,,10,30
3,22/11/1940,2617,1,D,2,,10,30
3,09/08/1942,0,0,M,0,,25,30
4,08/04/1949,0,0,C,0,,10,30
2,26/03/1939,0,0,M,2,,10,30
2,19/08/1954,0,0,D,2,,10,30
3,04/09/1945,0,0,M,2,,10,29
2,14/01/1938,2241,0,M,2,,10,29
2,03/05/1931,0,0,M,0,,10,29
2,16/11/1947,0,0,D,2,,10,29
2,02/05/1946,0,0,M,2,,10,28
3,01/04/1943,0,0,M,6,,10,28
3,03/09/1935,0,0,M,2,,10,27
2,10/01/1939,0,0,M,2,,10,27
2,24/05/1953,0,0,A,0,,10,23
3,08/09/1919,0,0,A,0,,10,36
2,06/12/1936,2400,0,V,2,,10,31
3,17/05/1952,0,0,M,2,,10,30
3,22/12/1942,2194,0,M,2,,10,30
2,02/11/1934,0,0,M,2,,10,30
3,17/09/1945,0,0,A,0,,10,29
3,29/11/1939,2500,0,C,2,,10,29
3,12/06/1945,0,0,A,0,,10,29
2,04/12/1928,0,0,M,2,,10,29
4,02/08/1949,3779,0,C,2,,10,28
4,26/03/1956,0,0,C,0,,10,28
3,01/10/1940,1830,0,B,2,,10,28
3,21/05/1932,0,0,A,0,,10,27
3,07/03/1936,0,0,A,0,,10,27
2,03/08/1939,0,0,A,0,DC,21,26
2,11/08/1952,3000,0,M,2,,10,26
2,22/02/1961,0,0,D,2,,10,26
3,04/12/1948,0,0,A,0,,10,26
2,21/05/1950,0,0,M,2,,10,26
3,30/10/1955,0,0,C,2,,10,25
2,29/04/1955,0,0,A,0,,10,24
3,05/08/1928,0,0,A,0,,10,38
4,17/03/1933,0,0,C,0,,10,38
3,09/05/1926,0,0,A,0,,10,37
2,07/08/1932,0,0,A,0,,10,37
2,07/03/1933,0,0,A,0,,10,37
2,15/04/1924,0,0,M,2,,10,37
2,23/08/1928,0,0,M,2,,10,36
2,23/01/1942,0,0,A,0,,10,36
2,11/06/1942,0,0,A,0,,10,36
3,15/10/1936,0,0,M,2,,10,36
2,19/10/1932,0,0,A,0,,10,36
2,22/02/1943,0,0,A,0,,10,36
3,19/05/1938,3168,0,D,2,,10,36
3,11/03/1931,0,0,A,0,,10,36
3,17/10/1934,0,0,A,0,,10,36
3,04/10/1937,0,0,A,0,,10,36
4,09/08/1930,0,0,C,0,,10,36
3,13/03/1933,0,0,A,0,,10,36
2,30/03/1943,0,0,A,0,,10,36
2,05/04/1934,0,0,A,0,DC,21,36
2,03/08/1938,0,0,A,0,,10,36
3,09/05/1936,0,0,A,0,,10,36
2,12/11/1939,3104,0,M,2,,10,36
3,01/09/1943,0,0,A,0,,10,36
3,17/07/1921,0,0,A,0,,10,36
2,07/12/1936,0,0,A,0,,10,36
3,22/08/1923,0,0,M,2,,10,36
3,24/12/1941,2402,0,D,2,,10,35
2,22/05/1929,0,0,A,0,,10,35
2,31/07/1944,0,0,D,2,,10,35
3,11/07/1939,0,0,A,0,,10,35
2,16/03/1944,2035,2,G,0,,10,35
2,24/05/1945,0,0,B,0,,10,35
2,10/04/1911,0,0,A,0,,10,35
3,23/06/1938,8193,0,S,2,,10,35
2,10/10/1935,1908,0,B,2,,10,35
3,24/01/1912,0,0,A,0,,10,35
