CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,RANGAGEAD,RANGAGEDEM,ADH,RANGADH
2,0,0,A,0,DV,21,3.0,9.0,31,7.0
2,0,0,A,0,DV,21,7.0,,33,7.0
2,0,0,B,0,DV,21,4.0,,29,6.0
3,0,0,M,0,DV,21,2.0,9.0,34,7.0
2,0,0,A,0,DV,21,5.0,,27,6.0
2,0,0,A,0,DV,21,2.0,8.0,28,6.0
2,0,0,A,0,DV,21,4.0,,30,7.0
3,0,0,A,0,DV,21,5.0,,31,7.0
3,0,0,M,0,DV,21,4.0,,32,7.0
2,0,0,A,0,DV,21,2.0,9.0,32,7.0
3,0,0,A,0,DV,21,2.0,8.0,32,7.0
3,0,0,A,0,DV,21,4.0,,29,6.0
3,0,0,A,0,DV,21,3.0,9.0,28,6.0
3,0,0,M,0,DV,21,2.0,7.0,28,6.0
3,0,0,A,0,DV,21,7.0,,27,6.0
4,0,0,C,0,DV,21,3.0,8.0,26,6.0
2,0,0,M,0,DV,21,4.0,9.0,28,6.0
3,0,0,A,0,DV,21,3.0,9.0,28,6.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
2,0,0,A,0,DV,21,2.0,7.0,22,5.0
3,0,0,A,0,DV,21,2.0,7.0,24,5.0
2,0,0,A,0,DV,21,4.0,9.0,23,5.0
3,0,0,A,0,DV,21,8.0,,25,6.0
2,0,0,A,0,DV,21,4.0,,26,6.0
3,0,0,A,0,DV,21,2.0,7.0,27,6.0
3,2683,2,D,0,DV,21,2.0,8.0,28,6.0
3,0,0,A,0,DV,21,8.0,,21,5.0
4,0,0,C,0,DV,21,2.0,7.0,24,5.0
2,0,0,A,0,DA,40,3.0,7.0,21,5.0
2,0,0,A,0,DV,21,3.0,7.0,22,5.0
3,0,0,A,0,DV,21,3.0,8.0,24,5.0
4,0,0,C,0,DV,21,1.0,6.0,25,6.0
4,0,0,C,0,DV,21,4.0,9.0,26,6.0
3,0,0,A,0,DV,21,3.0,7.0,21,5.0
3,0,0,A,0,DV,21,3.0,7.0,22,5.0
3,0,0,A,0,RA,21,7.0,,22,5.0
3,0,0,A,0,DV,21,4.0,9.0,25,6.0
2,2600,0,M,0,DV,21,3.0,8.0,26,6.0
2,0,0,A,0,DV,21,2.0,6.0,19,4.0
3,0,0,A,2,DV,21,7.0,,21,5.0
2,0,0,A,0,DV,21,6.0,,21,5.0
3,0,0,A,0,DV,21,5.0,9.0,19,4.0
2,0,0,A,0,DV,21,5.0,,23,5.0
2,0,0,A,0,DV,21,6.0,,24,5.0
3,0,0,A,0,DV,21,3.0,7.0,20,5.0
2,0,0,A,0,DV,21,1.0,5.0,19,4.0
3,0,0,A,0,DV,21,3.0,8.0,25,6.0
2,0,0,A,0,DV,21,5.0,,26,6.0
3,0,0,A,0,DV,21,1.0,5.0,24,5.0
3,0,0,M,0,DV,21,5.0,,25,6.0
2,0,0,A,0,DV,21,2.0,6.0,18,4.0
2,0,0,A,0,RA,21,1.0,6.0,21,5.0
3,0,0,A,0,DV,21,1.0,5.0,21,5.0
3,0,0,A,0,DV,21,2.0,6.0,18,4.0
3,0,0,A,0,DV,21,1.0,5.0,22,5.0
2,0,0,M,0,DV,21,5.0,,25,6.0
2,0,0,A,0,DV,21,3.0,7.0,22,5.0
2,0,0,A,0,DV,21,3.0,8.0,23,5.0
3,0,0,A,0,DV,21,3.0,8.0,25,6.0
3,0,0,A,0,DV,21,5.0,9.0,22,5.0
2,0,0,M,0,DV,21,4.0,8.0,24,5.0
3,0,0,A,0,DV,21,1.0,5.0,19,4.0
3,0,0,A,0,DV,21,5.0,,25,6.0
2,0,0,A,0,DV,21,3.0,7.0,21,5.0
2,0,0,A,0,DV,21,5.0,9.0,20,5.0
3,0,0,M,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,3.0,7.0,18,4.0
3,0,0,A,0,DV,21,3.0,7.0,17,4.0
2,0,0,M,0,DV,21,4.0,9.0,23,5.0
2,0,0,A,0,DV,10,1.0,5.0,23,5.0
3,0,0,A,0,DV,21,6.0,,19,4.0
2,0,0,A,0,DV,21,1.0,5.0,18,4.0
2,0,0,A,0,DV,21,5.0,8.0,19,4.0
2,0,0,A,0,DV,21,3.0,6.0,17,4.0
2,1522,2,U,0,DV,21,1.0,3.0,16,4.0
2,0,1,M,0,DV,21,2.0,7.0,22,5.0
3,0,0,A,0,DV,21,5.0,9.0,20,5.0
3,0,0,A,0,DV,21,3.0,9.0,27,6.0
3,0,0,A,0,DV,21,2.0,7.0,26,6.0
3,0,0,B,0,RA,21,2.0,8.0,29,6.0
3,0,0,A,0,DV,21,2.0,8.0,29,6.0
2,0,0,A,0,DV,21,3.0,8.0,23,5.0
2,0,0,A,0,DV,21,1.0,5.0,21,5.0
4,0,0,C,0,DA,21,2.0,8.0,26,6.0
2,0,0,A,0,RA,21,1.0,5.0,24,5.0
4,0,0,C,0,DV,21,2.0,6.0,23,5.0
2,0,0,M,0,DV,21,3.0,8.0,28,6.0
3,0,0,A,0,DV,21,2.0,7.0,23,5.0
2,0,0,A,0,DV,21,3.0,8.0,21,5.0
3,0,0,D,2,DA,21,2.0,7.0,24,5.0
3,0,0,A,0,DV,21,8.0,,20,5.0
3,0,0,A,0,DV,21,3.0,7.0,20,5.0
3,0,0,A,0,DV,21,2.0,6.0,20,5.0
3,0,0,A,0,DV,21,1.0,6.0,22,5.0
3,0,0,A,0,DV,21,6.0,,23,5.0
2,0,0,S,0,DA,21,3.0,8.0,26,6.0
2,0,2,M,0,DV,21,3.0,8.0,25,6.0
4,0,0,C,0,DV,21,5.0,9.0,21,5.0
3,0,0,A,0,DV,21,4.0,8.0,20,5.0
2,152449,0,M,0,DV,21,1.0,6.0,22,5.0
2,0,0,A,0,DV,21,8.0,,20,5.0
3,1890,2,M,0,DV,21,3.0,8.0,24,5.0
2,0,0,A,0,DV,21,4.0,9.0,24,5.0
3,0,0,A,0,DV,21,6.0,,18,4.0
3,0,0,C,0,DV,21,1.0,5.0,19,4.0
3,0,0,A,0,DV,21,2.0,6.0,19,4.0
2,0,0,A,0,DV,10,8.0,,24,5.0
2,0,0,M,0,DV,21,5.0,,24,5.0
2,0,0,A,0,DV,21,2.0,5.0,18,4.0
3,0,0,M,0,DV,21,5.0,,23,5.0
2,0,1,M,2,DV,21,3.0,8.0,22,5.0
2,0,0,C,0,DV,21,1.0,6.0,23,5.0
3,0,0,A,0,DV,21,5.0,8.0,17,4.0
2,0,0,A,0,DV,21,5.0,9.0,22,5.0
2,0,1,M,0,DV,21,3.0,8.0,23,5.0
2,0,3,M,0,DV,21,2.0,6.0,23,5.0
3,0,0,A,0,DV,21,6.0,,20,5.0
